CMDLINE /Users/vadimleshchev/opt/anaconda3/envs/YandexContest/bin/python main.py
MEM 67.851562 1626984868.2655
MEM 67.851562 1626984868.3692
MEM 67.851562 1626984868.4711
MEM 67.851562 1626984868.5753
MEM 67.851562 1626984868.6769
MEM 67.851562 1626984868.7808
MEM 67.851562 1626984868.8849
MEM 67.851562 1626984868.9897
MEM 67.851562 1626984869.0943
MEM 67.851562 1626984869.1973
MEM 67.851562 1626984869.2987
MEM 67.851562 1626984869.4020
MEM 67.851562 1626984869.5049
MEM 67.851562 1626984869.6061
MEM 67.851562 1626984869.7077
MEM 67.851562 1626984869.8095
MEM 67.851562 1626984869.9140
MEM 67.851562 1626984870.0155
MEM 67.851562 1626984870.1193
MEM 67.851562 1626984870.2235
MEM 67.851562 1626984870.3282
MEM 67.851562 1626984870.4288
MEM 67.851562 1626984870.5330
MEM 67.851562 1626984870.6373
MEM 67.851562 1626984870.7404
MEM 67.851562 1626984870.8433
MEM 67.851562 1626984870.9473
MEM 67.851562 1626984871.0494
MEM 67.851562 1626984871.1530
MEM 67.851562 1626984871.2575
MEM 67.851562 1626984871.3578
MEM 67.851562 1626984871.4616
MEM 67.851562 1626984871.5644
MEM 67.851562 1626984871.6694
MEM 67.851562 1626984871.7742
MEM 67.851562 1626984871.8790
MEM 67.851562 1626984871.9800
MEM 67.851562 1626984872.0809
MEM 67.851562 1626984872.1818
MEM 67.851562 1626984872.2863
MEM 67.851562 1626984872.3909
MEM 67.851562 1626984872.4924
MEM 67.851562 1626984872.5974
MEM 67.851562 1626984872.6977
MEM 67.851562 1626984872.8010
MEM 67.851562 1626984872.9020
MEM 67.851562 1626984873.0041
MEM 67.851562 1626984873.1076
MEM 67.851562 1626984873.2077
MEM 67.851562 1626984873.3101
MEM 67.851562 1626984873.4150
MEM 67.851562 1626984873.5176
MEM 67.851562 1626984873.6181
MEM 67.851562 1626984873.7202
MEM 67.851562 1626984873.8242
MEM 67.851562 1626984873.9273
MEM 67.851562 1626984874.0297
MEM 67.851562 1626984874.1327
MEM 67.851562 1626984874.2371
MEM 67.851562 1626984874.3373
MEM 67.851562 1626984874.4409
MEM 67.851562 1626984874.5420
MEM 67.851562 1626984874.6440
MEM 67.851562 1626984874.7488
MEM 67.851562 1626984874.8494
MEM 67.851562 1626984874.9532
MEM 67.851562 1626984875.0555
MEM 67.851562 1626984875.1593
MEM 67.851562 1626984875.2641
MEM 67.851562 1626984875.3664
MEM 67.851562 1626984875.4670
MEM 67.851562 1626984875.5708
MEM 67.851562 1626984875.6760
MEM 67.851562 1626984875.7809
MEM 67.851562 1626984875.8835
MEM 67.851562 1626984875.9853
MEM 67.851562 1626984876.0862
MEM 67.851562 1626984876.1881
MEM 67.851562 1626984876.2891
MEM 67.851562 1626984876.3941
MEM 67.851562 1626984876.4974
MEM 67.851562 1626984876.6018
MEM 67.851562 1626984876.7040
MEM 67.851562 1626984876.8083
MEM 67.851562 1626984876.9104
MEM 67.851562 1626984877.0140
MEM 67.851562 1626984877.1192
MEM 67.851562 1626984877.2220
MEM 67.851562 1626984877.3243
MEM 67.851562 1626984877.4270
MEM 67.851562 1626984877.5276
MEM 67.851562 1626984877.6307
MEM 67.851562 1626984877.7343
MEM 67.851562 1626984877.8372
MEM 67.851562 1626984877.9382
MEM 67.851562 1626984878.0411
MEM 67.851562 1626984878.1439
MEM 67.851562 1626984878.2474
MEM 67.851562 1626984878.3487
MEM 67.851562 1626984878.4518
MEM 67.851562 1626984878.5555
MEM 67.851562 1626984878.6595
MEM 67.851562 1626984878.7639
MEM 67.851562 1626984878.8691
MEM 67.851562 1626984878.9739
MEM 67.851562 1626984879.0773
MEM 67.851562 1626984879.1800
MEM 67.851562 1626984879.2846
MEM 67.851562 1626984879.3864
MEM 67.851562 1626984879.4915
MEM 67.851562 1626984879.5946
MEM 67.851562 1626984879.6980
MEM 67.851562 1626984879.7990
MEM 67.851562 1626984879.9000
MEM 67.851562 1626984880.0009
MEM 67.851562 1626984880.1015
MEM 67.851562 1626984880.2024
MEM 67.851562 1626984880.3054
MEM 67.851562 1626984880.4106
MEM 67.851562 1626984880.5139
MEM 67.851562 1626984880.6150
MEM 67.851562 1626984880.7161
MEM 67.851562 1626984880.8203
MEM 67.851562 1626984880.9240
MEM 67.851562 1626984881.0245
MEM 67.851562 1626984881.1283
MEM 67.851562 1626984881.2309
MEM 67.851562 1626984881.3332
MEM 67.851562 1626984881.4360
MEM 67.851562 1626984881.5385
MEM 67.851562 1626984881.6387
MEM 67.851562 1626984881.7417
MEM 67.851562 1626984881.8447
MEM 67.851562 1626984881.9484
MEM 67.851562 1626984882.0504
MEM 67.851562 1626984882.1544
MEM 67.851562 1626984882.2575
MEM 67.851562 1626984882.3619
MEM 95.562500 1626984882.4640
MEM 104.425781 1626984882.5668
MEM 120.394531 1626984882.6696
MEM 133.382812 1626984882.7703
MEM 161.753906 1626984882.8755
MEM 171.804688 1626984882.9783
MEM 186.785156 1626984883.0821
MEM 201.441406 1626984883.1861
MEM 208.046875 1626984883.2897
MEM 248.292969 1626984883.3921
MEM 262.519531 1626984883.4962
MEM 271.117188 1626984883.5995
MEM 272.738281 1626984883.7035
MEM 274.492188 1626984883.8042
MEM 276.894531 1626984883.9082
MEM 279.234375 1626984884.0089
MEM 281.699219 1626984884.1139
MEM 284.171875 1626984884.2148
